Player Name	Age	Position	Current Club
Luca Kerber	22	MF,DF	Heidenheim
Luca Marianucci	20	DF	Empoli
Luca Mazzitelli	28	MF	Como
Luca Netz	21	DF	Gladbach
Luca Pellegrini	25	DF	Lazio
Luca Philipp	23	GK	Hoffenheim
Luca Ranieri	25	DF	Fiorentina
Lucas Beltrán	23	FW,MF	Fiorentina
Lucas Da Cunha	23	MF	Como
Lucas Gourna-Douath	20	MF	Roma
Lucas Höler	30	FW,MF	Freiburg
Lucas Martínez Quarta	28	DF	Fiorentina
Lucas Tousart	27	MF	Union Berlin
Luka Jović	26	FW,MF	Milan
Luka Topalović	18	MF	Inter
Lukas Daschner	25	MF,FW	Bochum
Lukas Klostermann	28	DF	RB Leipzig
Lukas Kübler	31	DF	Freiburg
Lukas Nmecha	25	FW,MF	Wolfsburg
Lukas Ullrich	20	DF	Gladbach
Lukáš Hrádecký	34	GK	Leverkusen
Lutsharel Geertruida	24	DF	RB Leipzig
László Bénes	26	MF,FW	Union Berlin
Léo Scienza	25	FW,MF	Heidenheim
Maarten Vandevoordt	22	GK	RB Leipzig
Maat Daniel Caprini	18	FW	Fiorentina
Mads Pedersen	27	DF	Augsburg
Mads Roerslev	25	DF	Wolfsburg
Maduka Okoye	24	GK	Udinese
Magnus Knudsen	23	MF	Holstein Kiel
Magnus Kofod Andersen	25	MF	Venezia
Mahmoud Dahoud	28	MF	Eint Frankfurt
Malick Thiaw	22	DF	Milan
Mandela Keita	22	MF	Parma
Manolis Saliakas	27	MF,DF	St. Pauli
Manu Koné	23	MF	Roma
Manuel Lazzari	30	DF	Lazio
Manuel Locatelli	26	MF	Juventus
